Date,Day,Event Type,Event Name,Details,Time / Price,Location,Slide Footer,Slide Type,Hidden Notes,Accent Hex Colour,Countdown Finish,Feature QR,Footer QR,Footer Hyperlink,Slide Duration,Slide Background,Foreground Image,Bubble Text,Lock Slide,Lock Day,Lock Time,Transition,Zoom
10/17/2026,Saturday,🟣/🟠 TBC,,,8:00 PM,Venue,,,,,,,,,,,,,,,,,
2026-10-18,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2026-10-19,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2026-10-21,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2026-10-22,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2026-10-22,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2026-10-22,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2026-10-23,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
10/24/2026,Saturday,🟣/🟠 TBC,,,8:00 PM,Venue,,,,,,,,,,,,,,,,,
2026-10-25,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2026-10-26,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2026-10-28,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2026-10-29,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2026-10-29,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2026-10-29,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2026-10-30,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
10/31/2026,Saturday,🟣/🟠 TBC,,,8:00 PM,Venue,Halloween boo!,,,,,,,,,,,,,,,,
2026-11-01,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2026-11-02,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2026-11-04,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2026-11-05,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2026-11-05,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2026-11-05,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2026-11-06,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
11/7/2026,Saturday,🟣/🟠 TBC,,,8:00 PM,Venue,,,,,,,,,,,,,,,,,
2026-11-08,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2026-11-09,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2026-11-11,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2026-11-12,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2026-11-12,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2026-11-12,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2026-11-13,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
11/14/2026,Saturday,🟣/🟠 TBC,,,8:00 PM,Venue,,,,,,,,,,,,,,,,,
2026-11-15,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2026-11-16,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2026-11-18,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2026-11-19,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2026-11-19,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2026-11-19,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2026-11-20,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
11/21/2026,Saturday,🟣/🟠 TBC,,,8:00 PM,Venue,,,,,,,,,,,,,,,,,
2026-11-22,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2026-11-23,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2026-11-25,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2026-11-26,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2026-11-26,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2026-11-26,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2026-11-27,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
11/28/2026,Saturday,🟣/🟠 TBC,,,8:00 PM,Venue,,,,,,,,,,,,,,,,,
2026-11-29,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2026-11-30,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2026-12-02,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2026-12-03,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2026-12-03,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2026-12-03,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2026-12-04,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
12/5/2026,Saturday,🟣/🟠 TBC,,,8:00 PM,Venue,,,,,,,,,,,,,,,,,
2026-12-06,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2026-12-07,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2026-12-09,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2026-12-10,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2026-12-10,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2026-12-10,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2026-12-11,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
12/12/2026,Saturday,🟣/🟠 TBC,,,8:00 PM,Venue,,,,,,,,,,,,,,,,,
2026-12-13,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2026-12-14,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2026-12-16,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2026-12-17,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2026-12-17,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2026-12-17,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2026-12-18,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
12/19/2026,Saturday,🟣/🟠 TBC,,,8:00 PM,Venue,,,,,,,,,,,,,,,,,
2026-12-20,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2026-12-21,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2026-12-23,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2026-12-24,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2026-12-24,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2026-12-24,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2026-12-25,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
12/26/2026,Saturday,🟣/🟠 TBC,,,8:00 PM,Venue,Boxing Day,,,,,,,,,,,,,,,,
2026-12-27,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2026-12-28,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2026-12-30,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2026-12-31,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2026-12-31,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2026-12-31,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
12/31/2026,,🟣/🟠 TBC,NEW YEARS EVE,TBC,TBC,,,,,,,,,,,,,,,,,,
2027-01-01,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2027-01-03,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2027-01-04,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2027-01-06,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2027-01-07,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2027-01-07,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2027-01-07,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2027-01-08,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2027-01-10,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2027-01-11,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2027-01-13,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2027-01-14,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2027-01-14,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2027-01-14,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2027-01-15,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2027-01-17,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2027-01-18,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2027-01-20,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2027-01-21,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2027-01-21,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2027-01-21,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2027-01-22,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2027-01-24,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
2027-01-25,Monday,Food Special,Steak Day Monday's,"Start your week off with a 200g Succulent Rump Steak, cooked to your liking, served with golden fries and a green garden salad.",$20,,,,,,,,,,,,,,,,,,
2027-01-27,Wednesday,Quiz,Quiz Night,"Every Wednesday Night from 7.00pm, $190 in prizes up for grabs. Bookings Essential.",FREE ENTRY,,,,,,,,,,,,,,,,,,
2027-01-28,Thursday,Food Special,Burger Day Thursdays,"Your choice of Chicken, Beer Battered Fish, Pork Belly or Coasters Beef Burger, all served with Golden Fries & Onion Rings.",$19 each or 2 for $35!,,,,,,,,,,,,,,,,,,
2027-01-28,Thursday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2027-01-28,Thursday,Promo,Free Pool Thursdays,Our Pool Table is Free all day and night on Thursdays! Grab a cue and challenge your mates.,FREE,,,,,,,,,,,,,,,,,,
2027-01-29,Friday,Happy Hour,Happy Hours!,Enjoy 10% discount on selected beverages between 4.30pm & 6.30pm.,10% Off!,,,,,,,,,,,,,,,,,,
2027-01-31,Sunday,Food Special,Two Course Sunday Roast,"Traditional roast of the day with roasted vegetables, seasonal greens and rich gravy, with an Ice Cream Sundae to finish.",$28,,,,,,,,,,,,,,,,,,
11-13 Sep,Weekend,NRL,🏆 NRL Finals,Qualifying & Elimination Finals,TBC,TBC,Qualifying & Elimination Finals,,,,,,,,,,,,,,,,
18-19 Sep,Weekend,NRL,🏆 NRL Finals,Semi Finals,TBC,TBC,Semi Finals,,,,,,,,,,,,,,,,
25-26 Sep,Weekend,NRL,🏆 NRL Finals,Preliminary Finals,TBC,TBC,Preliminary Finals,,,,,,,,,,,,,,,,
TBC Jun,Weekend,Super Rugby,🔴 Crusaders,Quarter Finals,TBC,TBC,Quarter Finals,,,,,,,,,,,,,,,,
TBC Jun,Weekend,Super Rugby,🔴 Crusaders,Semi Finals,TBC,TBC,Semi Finals,,,,,,,,,,,,,,,,
TBC Jun,Weekend,Super Rugby,🔴 Crusaders,Final,TBC,TBC,Final,,,,,,,,,,,,,,,,
